TEXT	A1	A2	GOLD
«Cosa c'è? cosa c'è?» ripeté Agnese, afferrandola per un braccio.	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
«Diavolo d'una donna!» esclamò Perpetua, rispingendola, per mettersi in libertà; e prese la rincorsa.	ANGER	ANGER	ANGER
Quando, più lontano, più acuto, più istantaneo, si sente l'urlo di Menico.	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
«Misericordia!» grida anche Agnese; e di galoppo dietro l'altra.	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
Avevan quasi appena alzati i calcagni, quando scoccò la campana: un tocco, e due, e tre, e seguita: sarebbero stati sproni, se quelle ne avessero avuto bisogno.	FEAR,SURPRISE	NEUTRAL,SURPRISE	FEAR,SURPRISE
Perpetua arriva, un momento prima dell'altra; mentre vuole spinger l'uscio, l'uscio si spalanca di dentro, e sulla soglia compariscono Tonio, Gervaso, Renzo, Lucia, che, trovata la scala, eran venuti giù saltelloni; e, sentendo poi quel terribile scampanìo, correvano in furia, a mettersi in salvo.	FEAR,NEUTRAL	FEAR,NEUTRAL	FEAR,NEUTRAL
«Cosa c'è? cosa c'è?» domandò Perpetua ansante ai fratelli, che le risposero con un urtone, e scantonarono.	ANTICIPATION,FEAR	FEAR,SURPRISE	ANTICIPATION
«E voi! come! che fate qui voi?» domandò poscia all'altra coppia, quando l'ebbe raffigurata.	ANGER,SURPRISE	SURPRISE	ANGER,SURPRISE
Ma quelli pure usciron senza rispondere.	NEUTRAL	NEUTRAL	NEUTRAL
Perpetua, per accorrere dove il bisogno era maggiore, non domandò altro, entrò in fretta nell'andito, e corse, come poteva al buio, verso la scala.	NEUTRAL	NEUTRAL	NEUTRAL
I due sposi rimasti promessi si trovarono in faccia Agnese, che arrivava tutt'affannata.	NEUTRAL	NEUTRAL	NEUTRAL
«Ah siete qui!» disse questa, cavando fuori la parola a stento: «com'è andata? cos'è la campana? mi par d'aver sentito…»	ANTICIPATION,SURPRISE	ANTICIPATION,SURPRISE	ANTICIPATION,SURPRISE
«A casa, a casa,» diceva Renzo, «prima che venga gente.»	FEAR	FEAR	FEAR
E s'avviavano; ma arriva Menico di corsa, li riconosce, li ferma, e, ancor tutto tremante, con voce mezza fioca, dice: «dove andate? indietro, indietro! per di qua, al convento!»	FEAR	FEAR	FEAR
«Sei tu che…?» cominciava Agnese.	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
«Cosa c'è d'altro?» domandava Renzo.	ANGER	SURPRISE	ANGER
Lucia, tutta smarrita, taceva e tremava.	FEAR	FEAR	FEAR
«C'è il diavolo in casa,» riprese Menico ansante.	FEAR	FEAR	FEAR
«Gli ho visti io: m'hanno voluto ammazzare: l'ha detto il padre Cristoforo: e anche voi, Renzo, ha detto che veniate subito: e poi gli ho visti io: provvidenza che vi trovo qui tutti! vi dirò poi, quando saremo fuori.»	FEAR	FEAR	FEAR
Renzo, ch'era il più in sé di tutti, pensò che, di qua o di là, conveniva andar subito, prima che la gente accorresse; e che la più sicura era di far ciò che Menico consigliava, anzi comandava, con la forza d'uno spaventato.	NEUTRAL,TRUST	FEAR	FEAR
Per istrada poi, e fuor del pericolo, si potrebbe domandare al ragazzo una spiegazione più chiara.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
«Cammina avanti,» gli disse.	NEUTRAL	NEUTRAL	NEUTRAL
«Andiam con lui,» disse alle donne.	NEUTRAL	NEUTRAL	NEUTRAL
Voltarono, s'incamminarono in fretta verso la chiesa, attraversaron la piazza, dove per grazia del cielo, non c'era ancora anima vivente; entrarono in una stradetta che era tra la chiesa e la casa di don Abbondio; al primo buco che videro in una siepe, dentro, e via per i campi.	NEUTRAL	NEUTRAL	NEUTRAL
Non s'eran forse allontanati un cinquanta passi, quando la gente cominciò ad accorrere sulla piazza, e ingrossava ogni momento.	NEUTRAL	NEUTRAL	NEUTRAL
Si guardavano in viso gli uni con gli altri: ognuno aveva una domanda da fare, nessuno una risposta da dare.	NEUTRAL	ANTICIPATION	ANTICIPATION
I primi arrivati corsero alla porta della chiesa: era serrata.	NEUTRAL,SURPRISE	NEUTRAL	ANTICIPATION
Corsero al campanile di fuori; e uno di quelli, messa la bocca a un finestrino, una specie di feritoia, cacciò dentro un: «che diavolo c'è?»	ANGER,NEUTRAL	ANGER	ANGER
Quando Ambrogio sentì una voce conosciuta, lasciò andar la corda; e assicurato dal ronzìo, ch'era accorso molto popolo, rispose: «vengo ad aprire».	NEUTRAL,TRUST	NEUTRAL	NEUTRAL,TRUST
Si mise in fretta l'arnese che aveva portato sotto il braccio, venne, dalla parte di dentro, alla porta della chiesa, e l'aprì.	NEUTRAL	NEUTRAL	NEUTRAL
«Cos'è tutto questo fracasso?	ANGER,NEUTRAL	ANTICIPATION	ANTICIPATION
– Cos'è?	NEUTRAL	ANTICIPATION	ANTICIPATION
– Dov'è?	NEUTRAL	ANTICIPATION	ANTICIPATION
– Chi è?»	NEUTRAL	ANTICIPATION	ANTICIPATION
«Come, chi è?» disse Ambrogio, tenendo con una mano un battente della porta, e, con l'altra, il lembo di quel tale arnese, che s'era messo così in fretta: «come! non lo sapete? gente in casa del signor curato.	ANGER,SURPRISE	FEAR	ANGER,FEAR
Animo, figliuoli: aiuto.»	NEUTRAL	FEAR	FEAR
Si voltan tutti a quella casa, vi s'avvicinano in folla, guardano in su, stanno in orecchi: tutto quieto.	ANTICIPATION,NEUTRAL,SURPRISE	NEUTRAL	ANTICIPATION
Altri corrono dalla parte dove c'era l'uscio: è chiuso, e non par che sia stato toccato.	ANTICIPATION,NEUTRAL,SURPRISE	NEUTRAL	ANTICIPATION
Guardano in su anche loro: non c'è una finestra aperta: non si sente uno zitto.	ANTICIPATION,NEUTRAL,SURPRISE	NEUTRAL	ANTICIPATION
«Chi è là dentro?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Ohe, ohe!	ANTICIPATION	ANTICIPATION	ANTICIPATION
– Signor curato!	ANTICIPATION	NEUTRAL	ANTICIPATION
– Signor curato!»	ANTICIPATION	NEUTRAL	ANTICIPATION
Don Abbondio, il quale, appena accortosi della fuga degl'invasori, s'era ritirato dalla finestra, e l'aveva richiusa, e che in questo momento stava a bisticciar sottovoce con Perpetua, che l'aveva lasciato solo in quell'imbroglio, dovette, quando si sentì chiamare a voce di popolo, venir di nuovo alla finestra; e visto quel gran soccorso, si pentì d'averlo chiesto.	ANGER,NEUTRAL	FEAR	ANGER,FEAR
«Cos'è stato?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Che le hanno fatto?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Chi sono costoro?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Dove sono?» gli veniva gridato da cinquanta voci a un tratto.	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
«Non c'è più nessuno: vi ringrazio: tornate pure a casa.»	JOY,NEUTRAL	TRUST	JOY,TRUST
«Ma chi è stato?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Dove sono andati?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
– Che è accaduto?»	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
«Cattiva gente, gente che gira di notte; ma sono fuggiti: tornate a casa; non c'è più niente: un'altra volta, figliuoli: vi ringrazio del vostro buon cuore.»	NEUTRAL,DISGUST,JOY	DISGUST,TRUST	DISGUST,JOY,TRUST
E, detto questo, si ritirò, e chiuse la finestra.	NEUTRAL	NEUTRAL	NEUTRAL
Qui alcuni cominciarono a brontolare, altri a canzonare, altri a sagrare; altri si stringevan nelle spalle, e se n'andavano: quando arriva uno tutto trafelato, che stentava a formar le parole.	ANGER,FEAR	ANGER,FEAR	ANGER,FEAR
Stava costui di casa quasi dirimpetto alle nostre donne, ed essendosi, al rumore, affacciato alla finestra, aveva veduto nel cortiletto quello scompiglio de' bravi, quando il Griso s'affannava a raccoglierli.	NEUTRAL	NEUTRAL	NEUTRAL
Quand'ebbe ripreso fiato, gridò: «che fate qui, figliuoli? non è qui il diavolo; è giù in fondo alla strada, alla casa d'Agnese Mondella: gente armata; son dentro; par che vogliano ammazzare un pellegrino; chi sa che diavolo c'è!»	FEAR	FEAR	FEAR
«Che?	SURPRISE	SURPRISE	ANTICIPATION,SURPRISE
– Che?	SURPRISE	SURPRISE	ANTICIPATION,SURPRISE
– Che?»	SURPRISE	SURPRISE	ANTICIPATION,SURPRISE
E comincia una consulta tumultuosa.	NEUTRAL	FEAR	NEUTRAL
«Bisogna andare.	NEUTRAL	NEUTRAL	NEUTRAL
– Bisogna vedere.	NEUTRAL	NEUTRAL	NEUTRAL
– Quanti sono?	NEUTRAL	ANTICIPATION	ANTICIPATION
– Quanti siamo?	NEUTRAL	ANTICIPATION	ANTICIPATION
– Chi sono?	NEUTRAL	ANTICIPATION	ANTICIPATION
– Il console! il console!»	NEUTRAL	NEUTRAL	ANTICIPATION
«Son qui,» risponde il console, di mezzo alla folla: «son qui; ma bisogna aiutarmi, bisogna ubbidire.	NEUTRAL	NEUTRAL	NEUTRAL
Presto: dov'è il sagrestano?	NEUTRAL	NEUTRAL	ANTICIPATION
Alla campana, alla campana.	NEUTRAL	FEAR	ANTICIPATION
Presto: uno che corra a Lecco a cercar soccorso: venite qui tutti…»	NEUTRAL	FEAR	ANTICIPATION,FEAR
Chi accorre, chi sguizza tra uomo e uomo, e se la batte; il tumulto era grande, quando arriva un altro, che gli aveva veduti partire in fretta, e grida: «correte, figliuoli: ladri, o banditi che scappano con un pellegrino: son già fuori del paese: addosso! addosso!»	ANGER,FEAR,SURPRISE	FEAR	ANGER,FEAR
A quest'avviso, senza aspettar gli ordini del capitano, si movono in massa, e giù alla rinfusa per la strada; di mano in mano che l'esercito s'avanza, qualcheduno di quei della vanguardia rallenta il passo, si lascia sopravanzare, e si ficca nel corpo della battaglia: gli ultimi spingono innanzi: lo sciame confuso giunge finalmente al luogo indicato.	ANGER	FEAR	ANGER,FEAR
Le tracce dell'invasione eran fresche e manifeste: l'uscio spalancato, la serratura sconficcata; ma gl'invasori erano spariti.	NEUTRAL	FEAR	ANGER,FEAR
S'entra nel cortile; si va all'uscio del terreno: aperto e sconficcato anche quello: si chiama: «Agnese!	ANTICIPATION,FEAR,NEUTRAL	ANTICIPATION	ANTICIPATION
Lucia!	ANTICIPATION	ANTICIPATION	ANTICIPATION
Il pellegrino!	ANTICIPATION	ANTICIPATION	ANTICIPATION
Dov'è il pellegrino?	NEUTRAL	ANTICIPATION	ANTICIPATION
L'avrà sognato Stefano, il pellegrino.	ANGER,NEUTRAL	NEUTRAL	ANGER
– No, no: l'ha visto anche Carlandrea.	TRUST	NEUTRAL	TRUST
Ohe, pellegrino!	ANTICIPATION	ANTICIPATION	ANTICIPATION
– Agnese!	ANTICIPATION	ANTICIPATION	ANTICIPATION
Lucia!»	ANTICIPATION	ANTICIPATION	ANTICIPATION
Nessuno risponde.	NEUTRAL	NEUTRAL	NEUTRAL
«Le hanno portate via!	FEAR	FEAR	FEAR
Le hanno portate via!»	FEAR	FEAR	FEAR
Ci fu allora di quelli che, alzando la voce, proposero d'inseguire i rapitori: che era un'infamità; e sarebbe una vergogna per il paese, se ogni birbone potesse a man salva venire a portar via le donne, come il nibbio i pulcini da un'aia deserta.	ANGER	ANGER	ANGER
Nuova consulta e più tumultuosa; ma uno (e non si seppe mai bene chi fosse stato) gettò nella brigata una voce, che Agnese e Lucia s'eran messe in salvo in una casa.	ANGER,JOY,NEUTRAL	JOY,NEUTRAL	JOY,NEUTRAL
La voce corse rapidamente, ottenne credenza; non si parlò più di dar la caccia ai fuggitivi; e la brigata si sparpagliò, andando ognuno a casa sua.	NEUTRAL	NEUTRAL	NEUTRAL
Era un bisbiglìo, uno strepito, un picchiare e un aprir d'usci, un apparire e uno sparir di lucerne, un interrogare di donne dalle finestre, un rispondere dalla strada.	NEUTRAL	NEUTRAL	NEUTRAL
Tornata questa deserta e silenziosa, i discorsi continuaron nelle case, e moriron negli sbadigli, per ricominciar poi la mattina.	NEUTRAL	NEUTRAL	NEUTRAL
Fatti però, non ce ne fu altri; se non che, quella medesima mattina, il console, stando nel suo campo, col mento in una mano, e il gomito appoggiato sul manico della vanga mezza ficcata nel terreno, e con un piede sul vangile; stando, dico, a speculare tra sé sui misteri della notte passata, e sulla ragion composta di ciò che gli toccasse a fare, e di ciò che gli convenisse fare, vide venirsi incontro due uomini d'assai gagliarda presenza, chiomati come due re de' Franchi della prima razza, e somigliantissimi nel resto a que' due che cinque giorni prima avevano affrontato don Abbondio, se pur non eran que' medesimi.	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE
Costoro, con un fare ancor men cerimonioso, intimarono al console che guardasse bene di non far deposizione al podestà dell'accaduto, di non rispondere il vero, caso che ne venisse interrogato, di non ciarlare, di non fomentar le ciarle de' villani, per quanto aveva cara la speranza di morir di malattia.	ANGER	ANGER,FEAR	ANGER,FEAR
I nostri fuggiaschi camminarono un pezzo di buon trotto, in silenzio, voltandosi, ora l'uno ora l'altro, a guardare se nessuno gl'inseguiva, tutti in affanno per la fatica della fuga, per il batticuore e per la sospensione in cui erano stati, per il dolore della cattiva riuscita, per l'apprensione confusa del nuovo oscuro pericolo.	FEAR	FEAR	FEAR
E ancor più in affanno li teneva l'incalzare continuo di que' rintocchi, i quali, quanto, per l'allontanarsi, venivan più fiochi e ottusi, tanto pareva che prendessero un non so che di più lugubre e sinistro.	FEAR	FEAR	FEAR
Finalmente cessarono.	JOY	JOY	JOY
I fuggiaschi allora, trovandosi in un campo disabitato, e non sentendo un alito all'intorno, rallentarono il passo; e fu la prima Agnese che, ripreso fiato, ruppe il silenzio, domandando a Renzo com'era andata, domandando a Menico cosa fosse quel diavolo in casa.	NEUTRAL	NEUTRAL	NEUTRAL
Renzo raccontò brevemente la sua trista storia; e tutt'e tre si voltarono al fanciullo, il quale riferì più espressamente l'avviso del padre, e raccontò quello ch'egli stesso aveva veduto e rischiato, e che pur troppo confermava l'avviso.	FEAR,SADNESS	NEUTRAL	FEAR,SADNESS
Gli ascoltatori compresero più di quel che Menico avesse saputo dire: a quella scoperta, si sentiron rabbrividire; si fermaron tutt'e tre a un tratto, si guardarono in viso l'un con l'altro, spaventati; e subito, con un movimento unanime, tutt'e tre posero una mano, chi sul capo, chi sulle spalle del ragazzo, come per accarezzarlo, per ringraziarlo tacitamente che fosse stato per loro un angelo tutelare, per dimostrargli la compassione che sentivano dell'angoscia da lui sofferta, e del pericolo corso per la loro salvezza; e quasi per chiedergliene scusa.	FEAR,TRUST	FEAR,TRUST	FEAR,TRUST
«Ora torna a casa, perché i tuoi non abbiano a star più in pena per te,» gli disse Agnese; e rammentandosi delle due parpagliole promesse, se ne levò quattro di tasca, e gliele diede, aggiungendo: «basta; prega il Signore che ci rivediamo presto: e allora…»	FEAR,NEUTRAL	TRUST	FEAR,TRUST
Renzo gli diede una berlinga nuova, e gli raccomandò molto di non dir nulla della commissione avuta dal frate; Lucia l'accarezzò di nuovo, lo salutò con voce accorata; il ragazzo li salutò tutti, intenerito; e tornò indietro.	NEUTRAL	TRUST	TRUST
Quelli ripresero la loro strada, tutti pensierosi; le donne innanzi, e Renzo dietro, come per guardia.	FEAR,NEUTRAL	NEUTRAL	FEAR,NEUTRAL
Lucia stava stretta al braccio della madre, e scansava dolcemente, e con destrezza, l'aiuto che il giovine le offriva ne' passi malagevoli di quel viaggio fuor di strada; vergognosa in sé, anche in un tale turbamento, d'esser già stata tanto sola con lui, e tanto famigliarmente, quando s'aspettava di divenir sua moglie, tra pochi momenti.	SADNESS	SADNESS	SADNESS
Ora, svanito così dolorosamente quel sogno, si pentiva d'essere andata troppo avanti, e, tra tante cagioni di tremare, tremava anche per quel pudore che non nasce dalla trista scienza del male, per quel pudore che ignora sé stesso, somigliante alla paura del fanciullo, che trema nelle tenebre, senza saper di che.	FEAR	FEAR,SADNESS	FEAR,SADNESS
«E la casa?» disse a un tratto Agnese.	ANTICIPATION,NEUTRAL	ANTICIPATION,FEAR	ANTICIPATION
Ma per quanto la domanda fosse importante, nessuno rispose, perché nessuno poteva darle una risposta soddisfacente.	NEUTRAL	NEUTRAL	NEUTRAL
Continuarono in silenzio la loro strada, e poco dopo, sboccarono finalmente sulla piazzetta davanti alla chiesa del convento.	NEUTRAL	NEUTRAL	NEUTRAL
Renzo s'affacciò alla porta, e la sospinse bel bello.	NEUTRAL	NEUTRAL	NEUTRAL
La porta di fatto s'aprì; e la luna, entrando per lo spiraglio, illuminò la faccia pallida, e la barba d'argento del padre Cristoforo, che stava quivi ritto in aspettativa.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION,NEUTRAL
Visto che non ci mancava nessuno, «Dio sia benedetto!» disse, e fece lor cenno ch'entrassero.	JOY	JOY	JOY
Accanto a lui, stava un altro cappuccino; ed era il laico sagrestano, ch'egli, con preghiere e con ragioni, aveva persuaso a vegliar con lui, a lasciar socchiusa la porta, e a starci in sentinella, per accogliere que' poveri minacciati: e non si richiedeva meno dell'autorità del padre, e della sua fama di santo, per ottener dal laico una condiscendenza incomoda, pericolosa e irregolare.	FEAR,NEUTRAL	FEAR,NEUTRAL	FEAR,NEUTRAL
Entrati che furono, il padre Cristoforo riaccostò la porta adagio adagio.	NEUTRAL	NEUTRAL	NEUTRAL
Allora il sagrestano non poté più reggere, e, chiamato il padre da una parte, gli andava susurrando all'orecchio: «ma padre, padre! di notte… in chiesa… con donne… chiudere… la regola… ma padre!»	FEAR	FEAR	FEAR
E tentennava la testa.	FEAR,NEUTRAL	FEAR	FEAR
Mentre diceva stentatamente quelle parole,– vedete un poco!– pensava il padre Cristoforo,– se fosse un masnadiero inseguito, fra Fazio non gli farebbe una difficoltà al mondo; e una povera innocente, che scappa dagli artigli del lupo…–	ANGER	DISGUST	ANGER,DISGUST
«Omnia munda mundis,» disse poi, voltandosi tutt'a un tratto a fra Fazio, e dimenticando che questo non intendeva il latino.	NEUTRAL	NEUTRAL	NEUTRAL
Ma una tale dimenticanza fu appunto quella che fece l'effetto.	NEUTRAL	ANGER	NEUTRAL
Se il padre si fosse messo a questionare con ragioni, a fra Fazio non sarebber mancate altre ragioni da opporre; e sa il cielo quando e come la cosa sarebbe finita.	NEUTRAL	NEUTRAL	NEUTRAL
Ma, al sentir quelle parole gravide d'un senso misterioso, e proferite così risolutamente, gli parve che in quelle dovesse contenersi la soluzione di tutti i suoi dubbi.	TRUST	NEUTRAL	TRUST
S'acquietò, e disse: «basta! lei ne sa più di me».	TRUST	TRUST	TRUST
«Fidatevi pure,» rispose il padre Cristoforo; e, all'incerto chiarore della lampada che ardeva davanti all'altare, s'accostò ai ricoverati, i quali stavano sospesi aspettando, e disse loro: «figliuoli! ringraziate il Signore, che v'ha scampati da un gran pericolo.	ANTICIPATION,JOY,TRUST	ANTICIPATION,JOY,TRUST	ANTICIPATION,JOY,TRUST
Forse in questo momento…!»	FEAR	ANTICIPATION	ANTICIPATION
E qui si mise a spiegare ciò che aveva fatto accennare dal piccol messo: giacché non sospettava ch'essi ne sapesser più di lui, e supponeva che Menico gli avesse trovati tranquilli in casa, prima che arrivassero i malandrini.	NEUTRAL	NEUTRAL	NEUTRAL
Nessuno lo disingannò, nemmeno Lucia, la quale però sentiva un rimorso segreto d'una tale dissimulazione, con un tal uomo; ma era la notte degl'imbrogli e de' sotterfugi.	SADNESS	SADNESS	SADNESS
«Dopo di ciò,» continuò egli, «vedete bene, figliuoli, che ora questo paese non è sicuro per voi.	FEAR,NEUTRAL	SADNESS	NEUTRAL
È il vostro; ci siete nati; non avete fatto male a nessuno; ma Dio vuol così.	NEUTRAL	SADNESS	SADNESS
È una prova, figliuoli: sopportatela con pazienza, con fiducia, senza odio, e siate sicuri che verrà un tempo in cui vi troverete contenti di ciò che ora accade.	TRUST	SADNESS,TRUST	TRUST
Io ho pensato a trovarvi un rifugio, per questi primi momenti.	NEUTRAL	NEUTRAL	NEUTRAL
Presto, io spero, potrete ritornar sicuri a casa vostra; a ogni modo, Dio vi provvederà, per il vostro meglio; e io certo mi studierò di non mancare alla grazia che mi fa, scegliendomi per suo ministro, nel servizio di voi suoi poveri cari tribolati.	NEUTRAL,TRUST	ANTICIPATION,TRUST	ANTICIPATION,TRUST
Voi,» continuò volgendosi alle due donne, «potrete fermarvi a***.	NEUTRAL	NEUTRAL	NEUTRAL
Là sarete abbastanza fuori d'ogni pericolo e, nello stesso tempo, non troppo lontane da casa vostra.	NEUTRAL	NEUTRAL	NEUTRAL
Cercate del nostro convento, fate chiamare il padre guardiano, dategli questa lettera: sarà per voi un altro fra Cristoforo.	NEUTRAL,TRUST	NEUTRAL	NEUTRAL,TRUST
E anche tu, il mio Renzo, anche tu devi metterti, per ora, in salvo dalla rabbia degli altri, e dalla tua.	NEUTRAL	NEUTRAL	NEUTRAL
Porta questa lettera al padre Bonaventura da Lodi, nel nostro convento di Porta Orientale in Milano.	NEUTRAL	NEUTRAL	NEUTRAL
Egli ti farà da padre, ti guiderà, ti troverà del lavoro, per fin che tu non possa tornare a viver qui tranquillamente.	NEUTRAL,TRUST	NEUTRAL	TRUST
Andate alla riva del lago, vicino allo sbocco del Bione.»	NEUTRAL	NEUTRAL	NEUTRAL
È un torrente a pochi passi da Pescarenico.	NEUTRAL	NEUTRAL	NEUTRAL
«Lì vedrete un battello fermo; direte: barca; vi sarà domandato per chi; rispondete: san Francesco.	NEUTRAL	NEUTRAL	NEUTRAL
La barca vi riceverà, vi trasporterà all'altra riva, dove troverete un baroccio che vi condurrà addirittura fino a***».	NEUTRAL	NEUTRAL	NEUTRAL
Chi domandasse come fra Cristoforo avesse così subito a sua disposizione que'mezzi di trasporto, per acqua e per terra, farebbe vedere di non conoscere qual fosse il potere d'un cappuccino tenuto in concetto di santo.	NEUTRAL	NEUTRAL	NEUTRAL
Restava da pensare alla custodia delle case.	NEUTRAL	NEUTRAL	NEUTRAL
Il padre ne ricevette le chiavi, incaricandosi di consegnarle a quelli che Renzo e Agnese gl'indicarono.	NEUTRAL	NEUTRAL	NEUTRAL
Quest'ultima, levandosi di tasca la sua, mise un gran sospiro, pensando che, in quel momento, la casa era aperta, che c'era stato il diavolo, e chi sa cosa ci rimaneva da custodire!	SADNESS	SADNESS	SADNESS
«Prima che partiate,» disse il padre, «preghiamo tutti insieme il Signore, perché sia con voi, in codesto viaggio, e sempre; e sopra tutto vi dia forza, vi dia amore di volere ciò ch'Egli ha voluto.»	NEUTRAL,TRUST	TRUST	TRUST
Così dicendo s'inginocchiò nel mezzo della chiesa; e tutti fecer lo stesso.	NEUTRAL	NEUTRAL	NEUTRAL
Dopo ch'ebbero pregato, alcuni momenti, in silenzio, il padre, con voce sommessa, ma distinta, articolò queste parole: «noi vi preghiamo ancora per quel poveretto che ci ha condotti a questo passo.	NEUTRAL,SADNESS	SADNESS,TRUST	SADNESS,TRUST
Noi saremmo indegni della vostra misericordia, se non ve la chiedessimo di cuore per lui; ne ha tanto bisogno!	NEUTRAL,SADNESS	TRUST	SADNESS,TRUST
Noi, nella nostra tribolazione, abbiamo questo conforto, che siamo nella strada dove ci avete messi Voi: possiamo offrirvi i nostri guai; e diventano un guadagno.	JOY,NEUTRAL	TRUST	JOY,TRUST
Ma lui!… è vostro nemico.	ANGER	ANGER	ANGER
Oh disgraziato! compete con Voi!	ANGER,DISGUST	ANGER,DISGUST	ANGER,DISGUST
Abbiate pietà di lui, o Signore, toccategli il cuore, rendetelo vostro amico, concedetegli tutti i beni che noi possiamo desiderare a noi stessi.»	NEUTRAL	TRUST	TRUST
Alzatosi poi, come in fretta, disse: «via, figliuoli, non c'è tempo da perdere: Dio vi guardi, il suo angelo v'accompagni: andate.»	NEUTRAL	TRUST	TRUST
E mentre s'avviavano, con quella commozione che non trova parole, e che si manifesta senza di esse, il padre soggiunse, con voce alterata: «il cuor mi dice che ci rivedremo presto.»	SADNESS	SADNESS	SADNESS
Certo, il cuore, chi gli dà retta, ha sempre qualche cosa da dire su quello che sarà.	NEUTRAL	NEUTRAL	NEUTRAL
Ma che sa il cuore?	NEUTRAL	NEUTRAL	NEUTRAL
Appena un poco di quello che è già accaduto.	NEUTRAL	NEUTRAL	NEUTRAL
Senza aspettar risposta, fra Cristoforo, andò verso la sagrestia; i viaggiatori usciron di chiesa; e fra Fazio chiuse la porta, dando loro un addio, con la voce alterata anche lui.	NEUTRAL,SADNESS	NEUTRAL,SADNESS	NEUTRAL,SADNESS
Essi s'avviarono zitti zitti alla riva ch'era stata loro indicata; videro il battello pronto, e data e barattata la parola, c'entrarono.	NEUTRAL	NEUTRAL	NEUTRAL
Il barcaiolo, puntando un remo alla proda, se ne staccò; afferrato poi l'altro remo, e vogando a due braccia, prese il largo, verso la spiaggia opposta.	NEUTRAL	NEUTRAL	NEUTRAL
Non tirava un alito di vento; il lago giaceva liscio e piano, e sarebbe parso immobile, se non fosse stato il tremolare e l'ondeggiar leggiero della luna, che vi si specchiava da mezzo il cielo.	NEUTRAL	NEUTRAL	NEUTRAL
S'udiva soltanto il fiotto morto e lento frangersi sulle ghiaie del lido, il gorgoglìo più lontano dell'acqua rotta tra le pile del ponte, e il tonfo misurato di que' due remi, che tagliavano la superficie azzurra del lago, uscivano a un colpo grondanti, e si rituffavano.	NEUTRAL	NEUTRAL	NEUTRAL
L'onda segata dalla barca, riunendosi dietro la poppa, segnava una striscia increspata, che s'andava allontanando dal lido.	NEUTRAL	NEUTRAL	NEUTRAL
I passeggieri silenziosi, con la testa voltata indietro, guardavano i monti, e il paese rischiarato dalla luna, e variato qua e là di grand'ombre.	NEUTRAL	NEUTRAL	NEUTRAL
Si distinguevano i villaggi, le case, le capanne: il palazzotto di don Rodrigo, con la sua torre piatta, elevato sopra le casucce ammucchiate alla falda del promontorio, pareva un feroce che, ritto nelle tenebre, in mezzo a una compagnia d'addormentati, vegliasse, meditando un delitto.	FEAR,NEUTRAL	FEAR,NEUTRAL	FEAR,NEUTRAL
Lucia lo vide, e rabbrividì; scese con l'occhio giù giù per la china, fino al suo paesello, guardò fisso all'estremità, scoprì la sua casetta, scoprì la chioma folta del fico che sopravanzava il muro del cortile, scoprì la finestra della sua camera; e, seduta, com'era, nel fondo della barca, posò il braccio sulla sponda, posò sul braccio la fronte, come per dormire, e pianse segretamente.	FEAR,SADNESS	FEAR,SADNESS	FEAR,SADNESS
Addio, monti sorgenti dall'acque, ed elevati al cielo; cime inuguali, note a chi è cresciuto tra voi, e impresse nella sua mente, non meno che lo sia l'aspetto de' suoi più familiari; torrenti, de' quali distingue lo scroscio, come il suono delle voci domestiche; ville sparse e biancheggianti sul pendìo, come branchi di pecore pascenti; addio!	SADNESS	SADNESS	SADNESS
Quanto è tristo il passo di chi, cresciuto tra voi, se ne allontana!	SADNESS	SADNESS	SADNESS
Alla fantasia di quello stesso che se ne parte volontariamente, tratto dalla speranza di fare altrove fortuna, si disabbelliscono, in quel momento, i sogni della ricchezza; egli si maraviglia d'essersi potuto risolvere, e tornerebbe allora indietro, se non pensasse che, un giorno, tornerà dovizioso.	ANTICIPATION,NEUTRAL	ANTICIPATION,SADNESS	ANTICIPATION,SADNESS
